name,url,stars,rating,price,address,description,equipments,capacity,payment_methods,opening_periods
Auberge Bagatelle / Auberge de jeunesse,https://avignon-tourisme.com/offres/auberge-bagatelle-auberge-de-jeunesse-avignon-fr-4143308/,0,,,"25, allées Antoine Pinay, Ile de la Barthelasse, Ile de la Barthelasse, 84000 Avignon","Auberge de jeunesse située face au Palais des Papes et au Pont d'Avignon sur l'île de la Barthelasse, dans un cadre verdoyant et ombragé, au bord de l'eau, sous des platanes centenaires.","Accessible en fauteuil roulant avec aide,Alarme visuelle avec flash lumineux,Animation,Matériel Bébé,Chambre familiale,Abris pour vélo ou VTT,Aire de jeux,Bar,Terrasse,Climatisation,Laverie,Parking",142 Personne(s),"Chèque,Carte bancaire/crédit,Espèces,Chèque-Vacances Classic,Paiement sans contact",Toute l'année 2025 - Ouvert tous les jours
La Maison de l'Olivier - Chambre d'hôtes,https://avignon-tourisme.com/offres/la-maison-de-lolivier-chambre-dhotes-avignon-fr-4613680/,0,,,"34, Rue Louis Pasteur, 32B-34 rue Louis Pasteur 84 000 Avignon, 84000 Avignon",La Maison de l'Olivier vous accueille dans ses quatre chambres d'hôtes (dont deux avec terrasse) décorées avec goût et qui vous offriront une prestation de haut standing.,Piscine,4 Chambre(s),"Chèque,Carte bancaire/crédit",Du 1 avril 2025 au 15 novembre 2025 - Ouvert tous les jours
Résidence Cowool,https://avignon-tourisme.com/offres/residence-cowool-avignon-fr-4144049/,0,,,"25 avenue Mazarin, 84000 Avignon","Cowool un nouvel espace en coworking et coliving unique sur Avignon, pour vivre et travailler l’esprit libre ! Un espace coworking novateur hyper connecté avec équipements de dernière génération et 98 Flex'appart à louer pour la nuit ou pour la vie !","Accessible en fauteuil roulant en autonomie,Alarme visuelle avec flash lumineux,Eclairage non éblouissant sur l'ensemble du site,Animation,Climatisation,Lit 160 cm,Coin cuisine,Séjour / Salle à manger,Non fumeur,Restaurant,Jardin,Parking gratuit",4 Hébergement(s) pour personne à mobilité réduite,Carte bancaire/crédit,Toute l'année 2025 - Ouvert tous les jours
Résidence Apart'Hôtel Sainte-Marthe,https://avignon-tourisme.com/offres/residence-aparthotel-sainte-marthe-avignon-fr-4752936/,0,,,"6 A Route de Lyon, 84000 Avignon","Face aux Remparts, l'Apart'Hôtel Sainte-Marthe combine les services d'un hôtel avec les bénéfices et le confort d'un appartement. Les appartements peuvent accueillir 1 à 6 personnes à la nuitée ou en court ou long séjour.","Accessible en fauteuil roulant en autonomie,Climatisation,Lit 160 cm,Lit bébé,Chambre familiale,Lit 180 cm,Coin cuisine,Matériel Bébé,Non fumeur,Parking à proximité,Parking,Parking payant",193 Personne(s),"Carte bancaire/crédit,Espèces,Chèque-Vacances Classic",Toute l'année 2025 - Ouvert tous les jours
Villa Aigarden,https://avignon-tourisme.com/offres/villa-aigarden-avignon-fr-4143716/,0,,140€,"30, Avenue Saint-Jean, 84000 Avignon","la Villa Aigarden est une maison bourgeoise de charme pourvue de 3 chambres dont une suite, toutes décorées dans une ambiance provençale douce et épurée. Vous profiterez d'un parc de verdure, avec piscine et cuisine d’été, à 450 m des Remparts d’Avignon.",Piscine,3 Lit(s) double(s),Carte bancaire/crédit,Du 18 avril 2025 au 28 septembre 2025 - Ouvert tous les jours
Hôtel Festival Sud,https://avignon-tourisme.com/offres/hotel-festival-sud-avignon-fr-4143113/,0,,65€,"115 rue Mourelet, 84000 Avignon","Idéalement situé à proximité du centre d’Avignon et de la gare TGV, l’hôtel Festival Sud propose 28 chambres doubles, studios et appartements tous équipés. L'hôtel propose une piscine, une aire de jeux, un terrain de pétanque dans un parc arboré !",Piscine,2 Chambre(s) pour personne à mobilité réduite,"Carte bancaire/crédit,Chèque,Chèque-Vacances Classic",Toute l'année 2025 - Ouvert tous les jours
Hôtel Bristol,https://avignon-tourisme.com/offres/hotel-bristol-avignon-fr-4143511/,0,,67€,"44, cours Jean Jaurès, BP 186, 84000 Avignon","Hôtel ****,   inspiré des années 20,au cœur du centre historique proposant 75 chambres. Relaxez-vous dans un de nos salons Art déco ou au bar à l'univers Jazzy. Le + : Labellisé Accueil Vélo, l'hôtel dispose d'emplacements réservés et sécurisés aux vélos.","Accessible en fauteuil roulant en autonomie,Matériel Bébé,Lit bébé,Chambre familiale,Ascenseur,Climatisation,Parking,Accueil nuit,Animaux acceptés,Petit déjeuner,Blanchisserie,Animaux avec supplément",4 Chambre(s) pour personne à mobilité réduite,"Carte bancaire/crédit,Chèque-Vacances Classic,Espèces",Toute l'année 2025 - Ouvert tous les jours
Hôtel de Cambis,https://avignon-tourisme.com/offres/hotel-de-cambis-avignon-fr-4143427/,0,,140€,"89 rue Joseph Vernet, 84000 Avignon",L’hôtel de Cambis 4 étoiles aux 41 chambres est situé dans le centre historique d’Avignon. La décoration raffinée à pour thématique les couleurs du vin pour un rendu élégant et moderne.  Sur place profitez du bar l’Orsan et des deux salles de séminaire.,"Matériel Bébé,Coffre privatif,Lit bébé,Ascenseur,Bar,Climatisation,Salle de réunion,Paper board,Visioconférence,Ecran,Wifi dans la salle,Tables",2 Chambre(s) pour personne à mobilité réduite,Carte bancaire/crédit,Toute l'année 2025 - Ouvert tous les jours
Lodges & Nature - Camping les Deux Rhônes,https://avignon-tourisme.com/offres/lodges-nature-camping-les-deux-rhones-avignon-fr-4143672/,0,,,"151, Chemin de Bellegarde, Ile de la Barthelasse, 84000 Avignon",Situé sur  l'Ile de la Barthelasse au coeur de la Provence; le Camping vous accueille dans un lieu unique pour un séjour de rêve sur 3 hectares de verdure. Profitez d'hébergements ombragés et d'une ambiance conviviale.,Piscine,100 Emplacement(s) classé(s),"Carte bancaire/crédit,Espèces",Du 26 février 2025 au 31 décembre 2025 - Ouvert tous les jours
Anne de la Maison Blanche - Location de vacances,https://avignon-tourisme.com/offres/anne-de-la-maison-blanche-location-de-vacances-avignon-fr-4143139/,0,,,"2, rue de Provence, 84000 Avignon","Anne de la Maison Blanche une résidence hôtelière proche des remparts avec studios ou T2. Décoration provençale et contemporaine, piscine, jardin, petit-déjeuner maison et emplacement idéal pour découvrir le Palais des Papes. Havre de paix provençal.","Non accessible en fauteuil roulant,Accès Internet privatif Wifi gratuit,Lit bébé,Accès Internet privatif Wifi,Matériel Bébé,A proximité propriétaire,Parking,Parking payant,Terrasse,Climatisation,Ménage avec supplément,Animaux non acceptés",5 Chambre(s),"Chèque,Carte bancaire/crédit",Du 28 janvier 2025 au 31 décembre 2025 - Ouvert tous les jours
